Mnicipio	cpos
ABRERA	8630
AIGUAFREDA	8591
ALELLA	8328
ALPENS	8587
ARENYS DE MAR	8350
ARENYS DE MUNT	8358
ARGEN‚OLA	8717
ARGENTONA	8310
ARTES	8271
AVIA	8610
AVINYO	8279
AVINYONET DEL PENEDES	8793
BADALONA	8915
BADALONA	8912
BADALONA	8913
BADALONA	8910
BADALONA	8914
BADALONA	8911
BADALONA	8916
BADALONA	8917
BADALONA	8918
BADIA DEL VALLES	8214
BAGA	8695
BALSARENY	8660
BARBERA DEL VALLES	8210
BARCELONA	8014
BARCELONA	8023
BARCELONA	8028
BARCELONA	8006
BARCELONA	8001
BARCELONA	8004
BARCELONA	8020
BARCELONA	8010
BARCELONA	8070
BARCELONA	8071
BARCELONA	8080
BARCELONA	8032
BARCELONA	8075
BARCELONA	8007
BARCELONA	8008
BARCELONA	8018
BARCELONA	8013
BARCELONA	8017
BARCELONA	8035
BARCELONA	8003
BARCELONA	8039
BARCELONA	8005
BARCELONA	8012
BARCELONA	8040
BARCELONA	8042
BARCELONA	8033
BARCELONA	8025
BARCELONA	8026
BARCELONA	8041
BARCELONA	8019
BARCELONA	8034
BARCELONA	8029
BARCELONA	8038
BARCELONA	8016
BARCELONA	8002
BARCELONA	8024
BARCELONA	8037
BARCELONA	8021
BARCELONA	8015
BARCELONA	BIS08
BARCELONA	8036
BARCELONA	8027
BARCELONA	8031
BARCELONA	8022
BARCELONA	8030
BARCELONA	8009
BARCELONA	8011
"BATLLORIA, LA (SANT CELONI)"	8476
"BEGUDA ALTA, LA (MASQUEFA)"	8782
BEGUES	8859
BELLATERRA	8193
BELLAVISTA	8521
BELLPRAT	43421
BERGA	8600
BIGUES	8415
BORREDA	8619
"BRUC, EL"	8294
"BRULL, EL"	8553
"BRULL, EL"	8559
"CABANYES, LES"	8794
CABRERA DE MAR	8349
CABRILS	8348
CALAF	8280
CALDES DE MONTBUI	8140
CALELLA	8370
CALLDETENES	8506
CALLUS	8262
CAN DIVIU	8420
CANET DE MAR	8360
CANOVES	8445
CANTONIGROS	8569
CANYAMARS (DOSRIUS)	8318
CANYELLES	8811
CAPELLADES	8786
CARDEDEU	8440
CARDONA	8261
CARME	8787
CASSERRES	8693
CASTELLADRAL	8671
CASTELLAR DEL VALLES	8211
CASTELLBELL I EL VILAR	8296
CASTELLBISBAL	8755
CASTELLDEFELS	8860
CASTELLET I LA GORNAL	8729
CASTELLFOLLIT DE RIUBREGOS	8283
CASTELLFOLLIT DEL BOIX	8255
CASTELLGALI	8297
CASTELLNOU DE BAGES	8251
CASTELLOLI	8719
CASTELLVI DE LA MARCA	8732
CASTELLVI DE ROSANES	8769
CENTELLES	8540
CERDANYOLA DEL VALLES	8290
CERVELLO	8758
COLLBATO	8293
COLLSUSPINA	8178
"COLONIA ROSAL, LA (BERGA)"	8611
CORNELLA DE LLOBREGAT	8940
COSTABLANCA (CASTELLBISBAL) (URBANITZACIO)	8761
CUBELLES	8880
DOSRIUS	8319
ESPARREGUERA	8292
ESPIELLS	8770
ESPLUGUES DE LLOBREGAT	8950
FALS	8259
FIGARO (MONTMANY)	8590
FIGOLS	8698
FOGARS DE LA SELVA	8495
FOGARS DE MONTCLUS	8479
FONT-RUBI	8736
FONTPINEDA URBANIZACION (PALLEJA) (URBANITZACIO)	8753
"FONTS, LES (SANT QUIRZE DEL VALLES)"	8194
"FORTESA, LA"	8784
"FRANQUESES DEL VALLES, LES"	8520
GAIA	8672
GALLECS	8104
GALLIFA	8146
GARRAF (SITGES)	8871
"GARRIGA, LA"	8530
GAVA	8850
GELIDA	8790
GIRONELLA	8680
"GRANADA, LA"	8792
GRANERA	8183
GRANOLLERS	8402
GRANOLLERS	8403
GRANOLLERS	8404
GRANOLLERS	8401
GUALBA	8474
GUARDIOLA DE BERGUEDA	8694
GURB	8503
"HOSTALETS DE BALENYA, ELS (BALENYA)"	8550
"HOSTALETS DE PIEROLA, ELS"	8781
IGUALADA	8700
"LLACUNA, LA"	8779
"LLAGOSTA, LA"	8120
LLI‚A DE VALL	8185
LLINARS DEL VALLES	8450
LLU‚A	8514
MADRID	28027
MADRID	28024
MALGRAT DE MAR	8380
MALLA	8519
MANLLEU	8560
MANRESA	8243
MANRESA	8242
MANRESA	8241
MANRESA	8248
MANRESA	8240
MARGANELL	8298
MARTORELL	8760
MARTORELLES	8107
"MASIES DE VOLTREGA, LES (GLEVA, LA)"	8508
"MASNOU, EL"	8320
MASQUEFA	8783
MATARO	8300
MATARO	8303
MATARO	8301
MATARO	8302
MATARO	8304
MEDIONA	8773
MOIA	8180
MOLINS DE REI	8750
MOLLET DEL VALLES	8100
MONISTROL DE CALDERS	8275
MONISTROL DE MONTSERRAT	8691
MONTCADA I REIXAC	8110
MONTCLAR	8614
MONTESQUIU	8585
MONTGAT	8390
MONTMAJOR	8612
MONTMELO	8160
MONTORNES DEL VALLES	8170
MONTSENY	8469
MONTSERRAT (MONESTIR)	8199
MUNTANYOLA	8529
MURA	8278
NAVARCLES	8270
NAVAS	8670
ODENA	8711
OLERDOLA	8734
OLESA DE BONESVALLS	8795
OLESA DE MONTSERRAT	8640
OLIVELLA	8818
OLOST	8516
ORIS	8573
ORISTA	8518
ORRIUS	8317
PACS DEL PENEDES	8796
PALAFOLLS	8389
PALAU-SOLITA I PLEGAMANS	8184
PALLEJA	8780
"PALMA, LA"	8756
"PAPIOL, EL"	8754
PARETS DEL VALLES	8150
PERAFITA	8589
PINEDA DE MAR	8397
"PLA DEL PENEDES, EL"	8733
"POBLA DE LILLET, LA"	8696
POLINYA	8213
"PONT DE VILOMARA I ROCAFORT, EL"	8254
PONTONS	8738
"PRAT DE LLOBREGAT, EL"	8820
PRATS DE LLU‚ANES	8513
"PRATS DE REI, ELS"	8281
PREMIA DE DALT	8338
PREMIA DE MAR	8330
PUIG-REIG	8692
PUIGDALBER	8797
RAJADELL	8256
RELLINARS	8299
RIELLS DEL FAI (BIGUES I RIELLS)	8416
RIPOLLET	8291
"ROCA DEL VALLES, LA"	8430
RODA DE TER	8510
"ROQUETES, LES"	8812
RUBI	8191
SABADELL	8202
SABADELL	8208
SABADELL	8204
SABADELL	8206
SABADELL	8805
SABADELL	8201
SABADELL	8205
SABADELL	8203
SABADELL	8207
SAFARI (URBANIZACIO)	8757
SAGAS	8517
SALDES	8697
SALLENT	8650
SALO	8269
SANT ADRIA DE BESOS	8930
SANT AGUSTI DE LLU‚ANES	8586
SANT ANDREU DE LA BARCA	8740
SANT ANDREU DE LLAVANERES	8392
SANT ANTONI DE VILAMAJOR	8459
SANT BOI DE LLOBREGAT	8830
SANT CEBRIA DE VALLALTA	8396
SANT CELONI	8470
SANT CLIMENT DE LLOBREGAT	8849
SANT CUGAT DEL VALLES	8172
SANT CUGAT DEL VALLES	8198
SANT CUGAT DEL VALLES	8173
SANT CUGAT DEL VALLES	8195
SANT CUGAT DEL VALLES	8196
SANT CUGAT DEL VALLES	8174
SANT CUGAT SESGARRIGUES	8798
SANT ESTEVE DE PALAUTORDERA	8461
SANT ESTEVE SESROVIRES	8635
SANT FELIU DE CODINES	8182
SANT FELIU DE LLOBREGAT	8980
SANT FELIU SASSERRA	8274
SANT FOST DE CAMPSENTELLES	8105
SANT FRUITOS DE BAGES	8272
SANT HIPOLIT DE VOLTREGA	8512
SANT ISCLE DE VALLALTA	8359
SANT JOAN DESPI	8970
SANT JULIA DE VILATORTA	8504
SANT JUST DESVERN	8960
SANT LLOREN‚ (MATADEPERA)	8230
SANT LLOREN‚ SAVALL	8212
SANT MARTI DE CENTELLES	8592
SANT MARTI DE TORROELLA	8250
SANT MARTI DE TOUS	8712
SANT MARTI SARROCA	8731
SANT MARTI SESGUEIOLES	8282
SANT MATEU DE BAGES	8263
SANT MIQUEL DE BALENYA-SEVA	8554
SANT PERE DE RIBES	8810
SANT PERE DE RIUDEBITLLES	8776
SANT PERE DE TORELLO	8572
SANT PERE DE VILAMAJOR	8458
SANT PERE MOLANTA (OLERDOLA)	8799
SANT POL DE MAR	8395
SANT QUINTI DE MEDIONA	8777
SANT QUIRZE DE BESORA	8580
SANT QUIRZE DEL VALLES	8192
SANT QUIRZE SAFAJA	8189
SANT SALVADOR DE GUARDIOLA	8253
SANT VICEN‚ DE CASTELLET	8295
SANT VICEN‚ DE MONTALT	8394
SANT VICEN‚ DE TORELLO	8571
SANT VICEN‚ DELS HORTS	8620
SANTA CECILIA DE VOLTREGA	8509
SANTA COLOMA DE CERVELLO	8690
SANTA COLOMA DE GRAMENET	8924
SANTA COLOMA DE GRAMENET	8921
SANTA COLOMA DE GRAMENET	8923
SANTA COLOMA DE GRAMENET	8920
SANTA COLOMA DE GRAMENET	8922
SANTA CREU DE JOTGLAR	8515
SANTA EUGENIA DE BERGA	8507
SANTA EULALIA DE RIUPRIMER	8505
SANTA EULALIA DE RON‚ANA	8187
SANTA MARGARIDA DE MONTBUI	8710
SANTA MARGARIDA I ELS MONJOS	8730
SANTA MARIA DE BESORA	8584
SANTA MARIA DE MARTORELLES	8106
SANTA MARIA DE PALAUTORDERA	8460
SANTA PERPETUA DE MOGODA	8130
SANTA SUSANNA	8398
SENTMENAT	8181
SITGES	8870
SORA	8588
SUBIRATS	8739
SURIA	8260
TAGAMANENT	8593
TARADELL	8552
TAVERTET	8511
TEIA	8329
TERRASSA	8223
TERRASSA	8228
TERRASSA	8227
TERRASSA	8220
TERRASSA	8226
TERRASSA	8222
TERRASSA	8225
TERRASSA	8224
TERRASSA	8221
TIANA	8391
TONA	8551
TORDERA	8490
TORELLO	8570
"TORRE DE CLARAMUNT, LA"	8789
TORRELAVIT	8775
TORRELLES DE FOIX	8737
TORRELLES DE LLOBREGAT	8629
ULLASTRELL	8231
VACARISSES	8233
VALLCARCA (SITGES)	8872
VALLCEBRE	8699
VALLDOREIX (VER CALLEJERO SANT CUGAT)	8197
VALLDORIOLF (VILANOVA DEL VALLES)	8410
VALLGORGUINA	8471
VALLIRANA	8759
VALLROMANES	8188
VECIANA	8289
VIC	8500
VILADA	8613
VILADECANS	8840
VILADECAVALLS	8232
VILAFRANCA DEL PENEDES	8720
VILALBA SASSERRA	8455
VILANOVA DEL CAMI	8788
VILANOVA I LA GELTRU	8800
VILASSAR DE DALT	8339
VILASSAR DE MAR	8340
VILOBI DEL PENEDES	8735
VIVER I SERRATEIX	8673
