Municipio	cpos
"Acebeda, La"	28755
Ajalvir	28864
Alameda del Valle	28749
"çlamo, El"	28607
Alcal‡ de Henares	28801
Alcal‡ de Henares	28802
Alcal‡ de Henares	28803
Alcal‡ de Henares	28805
Alcal‡ de Henares	28806
Alcal‡ de Henares	28807
Alcal‡ de Henares	28804
Alcobendas	28100
Alcobendas	28108
Alcobendas	28109
Alcorc—n	28921
Alcorc—n	28922
Alcorc—n	28923
Alcorc—n	28924
Alcorc—n	28925
Aldea del Fresno	28620
Algete	28110
Algete	28119
Algete	28120
Alpedrete	28430
Alpedrete	28439
Ambite	28580
Anchuelo	28818
Aranjuez	28300
Aranjuez	28310
Aranjuez	28311
Aranjuez	28312
Arganda del Rey	28500
Arganda del Rey	28529
Arroyomolinos	28939
"Atazar, El"	28189
Batres	28976
Becerril de la Sierra	28490
Belmonte de Tajo	28390
Berzosa del Lozoya	28194
"Berrueco, El"	28192
Boadilla del Monte	28660
Boadilla del Monte	28669
"Boalo, El"	28492
"Boalo, El"	28412
"Boalo, El"	28413
Braojos	28737
Brea de Tajo	28596
Brunete	28690
Buitrago del Lozoya	28730
Bustarviejo	28720
Cabanillas de la Sierra	28721
"Cabrera, La"	28751
Cadalso de los Vidrios	28640
Cadalso de los Vidrios	28648
Camarma de Esteruelas	28816
Campo Real	28510
Canencia	28743
Caraba–a	28560
Casarrubuelos	28977
Cenicientos	28650
Cercedilla	28470
Cercedilla	28479
Cervera de Buitrago	28193
Ciempozuelos	28350
Cobe–a	28863
Colmenar del Arroyo	28213
Colmenar de Oreja	28380
Colmenarejo	28270
Colmenar Viejo	28770
Colmenar Viejo	28780
Colmenar Viejo	28707
Colmenar Viejo	28120
Collado Mediano	28450
Collado Mediano	28459
Collado Villalba	28400
Corpa	28811
Coslada	28821
Coslada	28822
Coslada	28823
Cubas de la Sagra	28978
Chapiner’a	28694
Chinch—n	28370
Daganzo de Arriba	28814
"Escorial, El"	28280
"Escorial, El"	28292
"Escorial, El"	28211
"Escorial, El"	28219
Estremera	28595
Fresnedillas de la Oliva	28214
Fresno de Torote	28815
Fuenlabrada	28940
Fuenlabrada	28941
Fuenlabrada	28942
Fuenlabrada	28943
Fuenlabrada	28944
Fuenlabrada	28945
Fuenlabrada	28946
Fuenlabrada	28947
Fuente el Saz de Jarama	28140
Fuentidue–a de Tajo	28597
Galapagar	28250
Galapagar	28260
Galapagar	28292
Galapagar	28400
Galapagar	28420
Garganta de los Montes	28743
Garganta de los Montes	28749
Gargantilla del Lozoya y Pinilla de Buitrago	28739
Gascones	28737
Getafe	28901
Getafe	28902
Getafe	28903
Getafe	28904
Getafe	28905
Getafe	28906
Getafe	28907
Getafe	28909
Gri–—n	28971
Guadalix de la Sierra	28794
Guadarrama	28430
Guadarrama	28440
Guadarrama	28480
"Hiruela, La"	28191
Horcajo de la Sierra-Aoslos	28755
Horcajuelo de la Sierra	28191
Hoyo de Manzanares	28240
Hoyo de Manzanares	28248
Humanes de Madrid	28970
Legan_s	28911
Legan_s	28912
Legan_s	28913
Legan_s	28914
Legan_s	28915
Legan_s	28916
Legan_s	28917
Legan_s	28918
Legan_s	28919
Loeches	28890
Lozoya	28742
Madarcos	28755
Madrid	28790
Madrid	28027
Madrid	28031
Madrid	28028
Madrid	28029
Madrid	28030
Madrid	28032
Madrid	28033
Madrid	28034
Madrid	28035
Madrid	28054
Madrid	28055
Madrid	28036
Madrid	28037
Madrid	28038
Madrid	28039
Madrid	28041
Madrid	28042
Madrid	28043
Madrid	28040
Madrid	28044
Madrid	28045
Madrid	28046
Madrid	28047
Madrid	28048
Madrid	28049
Madrid	28050
Madrid	28051
Madrid	28052
Madrid	28053
Madrid	28001
Madrid	28002
Madrid	28003
Madrid	28004
Madrid	28005
Madrid	28006
Madrid	28007
Madrid	28008
Madrid	28011
Madrid	28012
Madrid	28013
Madrid	28009
Madrid	28010
Madrid	28014
Madrid	28015
Madrid	28016
Madrid	28017
Madrid	28018
Madrid	28019
Madrid	28020
Madrid	28021
Madrid	28022
Madrid	28023
Madrid	28024
Madrid	28025
Madrid	28026
Majadahonda	28220
Majadahonda	28221
Majadahonda	28222
Manzanares El Real	28492
Manzanares El Real	28410
Manzanares El Real	28411
Meco	28880
Mejorada del Campo	28840
Miraflores de la Sierra	28792
Miraflores de la Sierra	28793
"Molar, El"	28710
"Molinos, Los"	28460
Montejo de la Sierra	28190
Moraleja de Enmedio	28950
Moralzarzal	28411
Morata de Taju–a	28530
M—stoles	28935
M—stoles	28936
M—stoles	28937
M—stoles	28938
M—stoles	28934
M—stoles	28931
M—stoles	28932
M—stoles	28933
Navacerrada	28491
Navalafuente	28729
Navalagamella	28212
Navalcarnero	28600
Navarredonda y San Mam_s	28739
Navas del Rey	28695
Nuevo Bazt‡n	28513
Nuevo Bazt‡n	28514
Olmeda de las Fuentes	28515
Orusco de Taju–a	28570
Paracuellos de Jarama	28860
Paracuellos de Jarama	28861
Paracuellos de Jarama	28862
Parla	28984
Parla	28981
Parla	28982
Parla	28983
Patones	28189
Pedrezuela	28723
Pelayos de la Presa	28696
Perales de Taju–a	28540
Pezuela de las Torres	28812
Pinilla del Valle	28749
Pinto	28320
Pi–u_car-Gandullas	28737
Pozuelo de Alarc—n	28224
Pozuelo de Alarc—n	28223
Pozuelo del Rey	28813
Pr‡dena del Rinc—n	28191
Puebla de la Sierra	28190
Quijorna	28693
Rascafr’a	28740
Rascafr’a	28741
Rascafr’a	28749
Redue–a	28721
Ribatejada	28815
Rivas-Vaciamadrid	28521
Rivas-Vaciamadrid	28522
Rivas-Vaciamadrid	28523
Rivas-Vaciamadrid	28524
Robledillo de la Jara	28194
Robledo de Chavela	28294
Robregordo	28755
"Rozas de Madrid, Las"	28231
"Rozas de Madrid, Las"	28232
"Rozas de Madrid, Las"	28290
Rozas de Puerto Real	28648
Rozas de Puerto Real	28649
San Agust’n del Guadalix	28750
San Fernando de Henares	28830
San Fernando de Henares	28850
San Lorenzo de El Escorial	28200
San Lorenzo de El Escorial	28209
San Mart’n de la Vega	28330
San Mart’n de la Vega	28339
San Mart’n de Valdeiglesias	28680
San Sebasti‡n de los Reyes	28701
San Sebasti‡n de los Reyes	28702
San Sebasti‡n de los Reyes	28703
San Sebasti‡n de los Reyes	28706
San Sebasti‡n de los Reyes	28707
San Sebasti‡n de los Reyes	28708
San Sebasti‡n de los Reyes	28709
Santa Mar’a de la Alameda	28296
Santa Mar’a de la Alameda	28297
Santorcaz	28818
"Santos de la Humosa, Los"	28817
"Serna del Monte, La"	28737
Serranillos del Valle	28979
Sevilla la Nueva	28609
Somosierra	28756
Soto del Real	28791
Talamanca de Jarama	28160
Tielmes	28550
Titulcia	28359
Torrej—n de Ardoz	28850
Torrej—n de la Calzada	28991
Torrej—n de Velasco	28990
Torrelaguna	28180
Torrelodones	28250
Torremocha de Jarama	28189
Torres de la Alameda	28813
Valdaracete	28594
Valdeavero	28816
Valdelaguna	28391
Valdemanco	28729
Valdemaqueda	28295
Valdemorillo	28210
Valdemoro	28343
Valdemoro	28341
Valdemoro	28342
Valdeolmos-Alalpardo	28130
Valdepi_lagos	28170
Valdetorres de Jarama	28150
Valdilecha	28511
Valverde de Alcal‡	28812
Velilla de San Antonio	28891
"Vell—n, El"	28722
Venturada	28729
Villaconejos	28360
Villa del Prado	28630
Villalbilla	28810
Villamanrique de Tajo	28598
Villamanta	28610
Villamantilla	28609
Villanueva de la Ca–ada	28690
Villanueva de la Ca–ada	28691
Villanueva de la Ca–ada	28692
Villanueva del Pardillo	28229
Villanueva de Perales	28609
Villar del Olmo	28512
Villar del Olmo	28514
Villarejo de Salvan_s	28590
Villaviciosa de Od—n	28670
Villaviciosa de Od—n	28679
Villavieja del Lozoya	28739
Zarzalejo	28293
Lozoyuela-Navas-Sieteiglesias	28754
Lozoyuela-Navas-Sieteiglesias	28753
Lozoyuela-Navas-Sieteiglesias	28752
Puentes Viejas	28754
Puentes Viejas	28195
Puentes Viejas	28196
Tres Cantos	28760
Tres Cantos	28790
