Municipio	cpos
Vitoria/Gasteiz	01070
Vitoria/Gasteiz	01071
Vitoria/Gasteiz	01080
CAMPEZO	01110
ALDA	01117
ANGOSTINA	01118
ARRAIA-MAEZTU	01120
ANTOÑANA	01128
ALETXA	01129
MURGUIA	01130
ACOSTA	01138
ALTUBE	01139
IBARRA	01160
OLAETA	01165
ARAMAIO	01169
ELOSU	01170
ASTEGIETA	01191
AÑUA	01192
ABERASTURI	01193
ARETXABALETA	01194
ARINIZ	01195
ANTEZANA	01196
AGURAIN	01200
ARRIETA	01206
ADANA	01207
ALBENIZ	01208
BAROJA	01211
BERGANZO	01212
CAICEDO DE YUSO	01213
ARLUZEA	01216
ANTEZANA DE LA RIBERA	01220
IRUÑA DE OCA	01230
ALEGRIA	01240
ARAIA	01250
ANDOIN	01260
BIASTERI	01300
LAPUEBLA DE LABARKA	01306
BAÑOS DE EBRO	01307
ASSA	01308
BILAR	01309
OION	01320
LASERNA	01321
BARRIOBUSTO	01322
BASTIDA	01330
ELCIEGO	01340
LLODIO	01400
LUIAONDO	01408
IRABAIEN	01409
ARBIGANO	01420
ALCEDO	01423
ARREO	01426
ACEBEDO	01427
ANUCITA	01428
KUARTANGO	01430
ANDA	01439
IZARRA	01440
ABEZIA	01449
BARANBIO	01450
ALORIA	01468
AMURRIO	01470
ARTZINIEGA	01474
AIARA	01476
AÑES	01477
CAMPIJO	01478
AGIÑAGA	01479
BETOLAZA	01510
AMARITA	01520
02	02001
02	02002
02	02003
02	02004
02	02005
02	02006
02	02007
02	02049
02	02070
02	02071
02	02080
TARAZONA DE LA MANCHA	02100
GINETA, LA	02110
PEÑAS DE SAN PEDRO	02120
ALCADOZO	02124
AYNA	02125
CASA CAÑETE	02127
CAMPILLO DE LA VIRGEN	02129
BOGARRA	02130
PATERNA DE MADERA	02136
ARTEAGA	02137
CAÑADAS DE HACHES ABAJO	02139
ANGUIJES, LOS	02140
POZOHONDO	02141
MULLIDAR	02142
VALDEGANGA	02150
CASAS DE JUAN NUÑEZ	02151
ALATOZ	02152
CARCELEN	02153
POZO LORENTE	02154
TINAJEROS	02155
FELIPA, LA	02156
LEZUZA	02160
TIRIEZ	02161
CUARTICO, EL	02162
CASAS IBAÑEZ	02200
ALCALA DEL JUCAR	02210
CASAS DEL CERRO	02211
CASAS DE VES	02212
PARED, LA	02213
BALSA DE VES	02214
ALBOREA	02215
MOTILLEJA	02220
MADRIGUERAS	02230
MAHORA	02240
NAVAS DE JORQUERA	02246
CENIZATE	02247
JORQUERA	02248
ALCOZAREJOS	02249
ABENGIBRE	02250
CAMPOALBILLO	02251
MARIMINGUEZ	02252
GOLOSALVO	02253
FUENTEALBILLA	02260
VILLAMALEA	02270
ALCARAZ	02300
VIVEROS	02310
POVEDILLA	02311
CANALEJA	02312
PEÑASCOSA	02313
CILLERUELO	02314
VIANOS	02315
REOLID	02316
BALAZOTE	02320
CAÑADA JUNCOSA	02326
CASICA DEL MADROÑO	02327
ARGAMASON	02328
BERRO	02329
CHOSPES, LOS	02340
VILLAPALACIOS	02350
MESTA DE CORTIJADAS	02359
BIENSERVIDA	02360
HELLIN	02400
AGRA	02409
LIETOR	02410
ISSO	02420
ELCHE DE LA SIERRA	02430
LETUR	02434
SOCOVOS	02435
FEREZ	02436
CAÑADA DE BUENDIA	02437
ABEJUELA	02439
MOLINICOS	02440
ALEJOS, LOS	02448
CAÑADA DE MOROTE	02449
RIOPAR	02450
CASA DE LA NOGUERA	02459
BELLOTAR	02460
COTILLAS	02461
ARROYOFRIO	02462
YESTE	02480
ARGUELLITE	02484
TUS	02485
HORNO CIEGO	02486
JUAN QUILEZ	02487
ALCANTARILLA	02489
AGRAMON	02490
CANCARIX	02499
TOBARRA	02500
POZO BUENO	02510
ABUZADERAS, LAS	02511
ALJUBE	02512
CORDOVILLA	02513
CHINCHILLA DE MONTE ARAGON	02520
HORNA	02529
NERPIO	02530
CAÑADAS	02534
BEG	02536
VILLARROBLEDO	02600
BONILLO, EL	02610
OSSA DE MONTIEL	02611
MUNERA	02612
BALLESTERO, EL	02614
MINAYA	02620
RODA, LA	02630
VILLALGORDO DEL JUCAR	02636
FUENSANTA	02637
MONTALVOS	02638
BARRAX	02639
ALMANSA	02640
MONTEALEGRE DEL CASTILLO	02650
FUENTEALAMO	02651
ONTUR	02652
ALBATANA	02653
CAUDETE	02660
ALPERA	02690
BONETE	02691
PETROLA	02692
CORRAL RUBIO	02693
HIGUERUELA	02694
VILLAR DE CHINCHILLA	02695
HOYA GONZALO	02696
Alacant/Alicante	03001
Alacant/Alicante	03002
Alacant/Alicante	03003
Alacant/Alicante	03004
Alacant/Alicante	03005
Alacant/Alicante	03006
Alacant/Alicante	03007
Alacant/Alicante	03008
Alacant/Alicante	03009
Alacant/Alicante	03010
Alacant/Alicante	03011
Alacant/Alicante	03012
Alacant/Alicante	03013
Alacant/Alicante	03014
Alacant/Alicante	03015
Alacant/Alicante	03016
Alacant/Alicante	03070
Alacant/Alicante	03071
Alacant/Alicante	03080
ABIO	03100
ALCOYES	03108
ALJIBE, EL, URBANIZACION	03109
ALMAINA-PARK, URBANIZACION	03110
BONALBA ALTA, URBANIZACION	03111
CHAREUS	03112
FONCALENT	03113
BACAROT	03114
MONNEGRE	03115
BRAS DEL PORT	03130
TABARCA	03138
BALSARES, LOS (ALTET)	03139
CHAPAPRIETAS, LOS, PARTIDA	03140
ALMARJAL	03149
DOLORES	03150
BERENGUERES	03158
BARRIO, EL	03159
ALMORADI	03160
ALGORFA	03169
CIUDAD QUESADA	03170
ACEQUIA DE LOS PALACIOS	03177
BENIJOFAR	03178
FORMENTERA DEL SEGURA	03179
ALTOS, LOS, URBANIZACION	03180
BALCONES, LOS	03186
BLANQUE, LO	03187
ALDEA DEL MAR	03188
ALMENDROS, LOS (ORIHUELA-COSTA), URBANIZACION	03189
PILAR DE LA HORADADA	03190
ALMAZARA, LA, CASERIO	03191
SAN MIGUEL DE SALINAS	03193
MARINA, LA	03194
ALTET, EL	03195
Elx/Elche	03200
ALFEREZ COSIDO	03201
AGRES	03202
ABADIA	03203
ALJUB	03204
ALAUSA	03205
ALCORA	03206
Elx/Elche	03207
Elx/Elche	03290
Elx/Elche	03291
BAYAS, LAS	03292
Elx/Elche	03293
Elx/Elche	03294
Elx/Elche	03295
ALGODA	03296
HUERTOS, LOS	03300
CHAPITEL, VEREDA	03310
APARECIDA, LA	03311
ARNEVA	03312
ALCACHOFAR	03313
ANCHA, VEREDA	03314
ASENSIOS, LOS, CASERIO	03315
BENFERRI	03316
BARRIO DE SAN CARLOS	03317
ROCAMORA, LO	03318
TORRELLANO	03320
CREVILLENT	03330
AMOROS, PARTIDA	03339
ALBATERA	03340
GRANJA DE ROCAMORA	03348
ALBATERA-CATRAL, DE, ESTACION	03349
COLLEREROS, LOS	03350
ALMAJAL, CAMI	03360
ALTO, EL	03369
BENITOS, LOS	03370
BIGASTRO	03380
BENEJUZAR	03390
VILLENA	03400
ENCINA, LA, NUCLEO	03408
CAÑADA	03409
BIAR	03410
CASTALLA	03420
ONIL	03430
CAMPOS, LOS	03440
BANYERES DE MARIOLA	03450
CASAS DE BENEYTO, CASERIO	03459
BENEIXAMA	03460
BALSA, LA, PARTIDA	03469
Benidorm	03500
Benidorm	03501
Benidorm	03502
Benidorm	03503
Benidorm	03508
FIGUERETES, PARTIDA	03509
ALMEDIA	03510
BENIMANTELL	03516
ABDET	03517
ALGAR, EL, PARTIDA	03518
CHINES	03519
BOVALAR, URBANIZACION	03520
ALBERCA, LA, URBANIZACION	03530
Alacant/Alicante	03540
BENIMAGRELL	03550
Alacant/Alicante	03559
ALKABIR, URBANIZACION	03560
AIGÜES	03569
AIXIHUILI, PARTIDA	03570
RELLEU	03578
ESPAÑA LA VIEJA, URBANIZACION	03579
ALFAS DEL PI, L'	03580
ALBIR, CAMPING	03581
SANTA FE, URBANIZACION	03589
ALAMO, EL, ZONA	03590
ALHAMA SPRINGS, URBANIZACION	03599
AGUALEJAS	03600
AGUARRIOS, ZONA	03610
CAMPANOS, LOS	03620
SAX	03630
SALINAS	03638
COLONIA DE SANTA EULALIA	03639
ALQUEBLA, PARTIDA	03640
ALCIRI	03649
PINOSO	03650
CAPELLANIA	03657
BOTICARIA	03658
ARSENAL, EL (ALICANTE)	03659
CAMPET	03660
ALGUEÑA	03668
ALCANA	03669
MONFORTE DEL CID	03670
BAÑOS NUESTRA SEÑORA DE ORITO	03679
ASPE	03680
CAVA, LA	03688
BARBARROJA	03689
BOQUERES	03690
AGOST	03698
ALCORAYA, LA	03699
ALTOMIRA	03700
BENIMAQUIA, PARTIDA	03709
ADELFAS, LAS, URBANIZACION	03710
BALADRAR, PARTIDA	03720
BENIMEIT, ZONA	03724
ALCASAR, PARTIDA	03725
ABIAR, L', PARTIDA	03726
SANTO DOMINGO	03727
ALCALALI	03728
GORGOS (BENISA)	03729
ADUANAS DE MAR	03730
CARRASQUETES, PARTIDA	03737
ALMENDROS (JAVEA/XABIA), URBANITZACIO	03738
ADSUBIA (AJUNTAMENT XABIA/JAVEA)	03739
BOLERIAS	03740
ALQUERIA GASENS	03749
BARRANCO PARRA	03750
ALDEA DE LAS CUEVAS, URBANIZACION	03759
ONDARA	03760
BENIMELI	03769
BARRANQUET CARRERES, PARTIDA	03770
BENIARBEIG	03778
ALMADRAVA, PLAYA	03779
MONTEPEGO	03780
ADSUBIA (AJUNTAMENT ADSUBIA)	03786
VALL DE GALLINERA	03787
ALCALA DE LA JOVADA	03788
MONTE PEGO, URBANIZACION	03789
ORBA (CASCO ANTIGUO)	03790
BENIMAURELL	03791
COLL DE RATES	03792
CASTELL DE CASTELLS	03793
BENIGEMBLA	03794
ASPRE, PARTIDA	03795
Alcoi/Alcoy	03800
Alcoi/Alcoy	03801
Alcoi/Alcoy	03802
Alcoi/Alcoy	03803
Alcoi/Alcoy	03804
BENILLOBA	03810
CAPELLANS	03811
BALONES	03812
FACHECA	03813
ALCOLEJA	03814
PENAGUILA	03815
BENIFALLIM	03816
ALGARS	03818
CANALETA, LA	03819
ALQUERIAS	03820
ALMUDAINA	03827
BENIALFAQUI	03828
ALCUDIA	03829
MURO DE ALCOY	03830
AGRES	03837
ALFAFARA	03838
ALBAIDA, DE, PUERTO	03839
GAIANES	03840
ALCOCER DE PLANES	03841
BENIARRES	03850
ORXA, L'/LORCHA	03860
PENELLA	03870
04	04001
04	04002
04	04003
04	04004
04	04005
04	04006
04	04007
04	04008
04	04009
04	04070
04	04071
04	04080
CORTIJILLOS, LOS	04100
CAMPOHERMOSO	04110
ATOCHARES	04113
POLOPOS	04114
RODALQUILAR	04115
ALBARICOQUES	04116
BARRANQUETE, EL	04117
ESCULLOS, LOS	04118
HUEBRO	04119
BOBAR, EL	04120
ALQUIAN, EL	04130
RETAMAR	04131
CAÑADA DE DON RODRIGO, LA	04140
AGUAMARGA (GAFARES)	04149
CABO DE GATA, EL	04150
FABRIQUILLA, LA	04151
CUEVAS DE LOS MEDINAS	04160
CARTERO	04200
LUCAINENA DE LAS TORRES	04210
ENCALMADOS, LOS	04211
CASTRO DE FILABRES	04212
MORATON	04213
BREÑA	04217
BASE ALVAREZ SOTOMAYOR	04220
CARMEN, EL	04230
JUAIDA, LA	04240
PECHINA	04250
SIERRA ALHAMILLA	04259
ABRIOJAL	04260
CINTA BLANCA	04270
ALAMEDA, LA	04271
CANAL, LA	04274
ARROYOS, LOS	04275
ALCUDIA DE MONTEAGUD	04276
CAMPICO	04277
ALIAS, LOS	04278
ALBARRACIN	04279
GALLARDOS, LOS	04280
ALBARICO, EL	04288
ALFAIX	04289
ALHAMA DE ALMERIA	04400
ALICUN	04409
BENAHADUX	04410
CALDERONA, LA	04420
INSTINCION	04430
ILLAR	04431
RAGOL	04440
BARRIADA DE ALCORA, LA	04450
ALMOCITA	04458
OHANES	04459
FONDON	04460
LAUJAR DE ANDARAX	04470
BAYARCAL	04479
ALCOLEA	04480
ESTACION, LA (FIÑANA)	04500
ABLA	04510
ABRUCENA	04520
DOÑA MARIA DE OCAÑA	04530
ALBOLODUY	04531
CORTIJO REAL	04532
ESTACION FERROCARRIL (ABLA-ABRUCENA)	04533
ESTACION, LA (NACIMIENTO)	04540
AULAGO	04549
ARROYO DE VERDELECHO	04550
ALCUBILLAS ALTAS, LAS	04558
ALMENDRAL, EL	04559
GADOR	04560
ALHABIA	04567
ALSODUX	04568
BENTARIQUE	04569
AZNARES, LOS	04600
ALGARROBINA, LA	04610
ALGARROBOS, LOS (PALOMARES)	04618
ALHANCHETE, EL	04619
MARINAS, LAS (VERA)	04620
ANTAS	04628
ALJARIZ	04629
GARRUCHA	04630
AGUA DEL MEDIO, EL	04638
CORTIJO GRANDE, EL	04639
ALAMOS, LOS	04640
BENZAL	04647
BARRIO MORTERO	04648
ESTACION, LA (SAN MIGUEL DE PULPI)	04649
ALMAJALEJO (ZURGENA)	04650
ARBOLEAS	04660
ALFOQUIA, LA	04661
CONCEPCION, LA	04662
GOÑAR	04690
ABEJUELA	04691
ACEITUNO, EL	04692
FUENTE AMARGA	04693
GACIA	04694
EJIDO, EL	04700
REDONDA, LA	04710
ALMERIMAR	04711
BALERMA	04712
BALANEGRA	04713
BAÑOS DE GUARDIAS VIEJAS, LOS	04715
NORIAS DE DAZA, LAS	04716
AGUADULCE	04720
PARADOR, EL (VICAR)	04721
ENIX	04729
FELIX, URBANIZACION	04730
BARRIO DE ARCHILLA	04738
MARINAS, LAS (ROQUETAS DE MAR)	04740
CORTIJOS DE MARIN	04741
ALGAIDA	04742
SOLANILLO, EL	04743
MOJONERA, LA	04745
VENTA DEL VISO, LA	04746
CELIN	04750
BERJA	04760
BENINAR	04768
ALCAUDIQUE	04769
ADRA	04770
ALCAZABA, LA	04778
ALQUERIA, LA (VENTA NUEVA)	04779
ALBOX	04800
BARRANCO DE QUILES, EL	04810
ADRIANES, LOS	04811
LLANO DE LAS ANIMAS, EL	04812
ARROYO DEL SALIENTE, EL	04813
ALJAMBRA, LA	04814
ALMANZORA	04815
ASENSIO, LOS	04820
ASPILLA	04825
ARANEGAS, LOS	04826
CABRERAS, LOS	04827
ALAMICOS, LOS	04828
ALQUERIA, LA (VELEZ RUBIO)	04829
ALARA	04830
GRAJ	04838
CAÑADA DE CAÑEPLA, LA	04839
ARROYO ACEITUNO, EL	04850
ALBANCHEZ	04857
ARROYO ALBANCHEZ, EL	04858
CHERCOS NUEVOS	04859
HUIMAYOR	04860
ARROYO FRANCO Y ESTELLA, EL	04867
LAROYA	04868
CAÑADA DE LAS CRUCES, LA	04869
PURCHENA	04870
SOMONTIN	04877
SIERRO	04878
AGUAMARGA (URRACAL)	04879
PORTEROS, LOS (TIJOLA)	04880
CELA (ESTACION)	04887
ARMUÑA DE ALMANZORA	04888
BACARES	04889
CLAVEROS, LOS	04890
ALCONTAR	04897
HIJATE, EL	04898
HERNANDEZ, LOS (LOS ZOILOS)	04899
Ávila	05001
Ávila	05002
Ávila	05003
Ávila	05004
Ávila	05005
Ávila	05070
Ávila	05071
Ávila	05080
NAVALUENGA	05100
BARRACO, EL	05110
SAN JUAN DE LA NAVA	05111
BURGOHONDO	05113
VILLANUEVA DE AVILA	05114
NAVARREVISCA	05115
NAVALMORAL DE LA SIERRA	05120
MORISCO	05122
HOYOCASERO	05123
BATERNA	05130
HIJA DE DIOS, LA	05131
CEPEDA LA MORA	05132
SAN MARTIN DE LA VEGA ALBERCHE	05133
GARGANTA DEL VILLAR	05134
BULARROS	05140
ALTAMIROS	05141
PASARILLA DEL REBOLLAR	05143
MANJABALAGO	05145
BLASCOMILLAN	05146
BLASCOJIMENO	05147
CABEZAS DEL VILLAR	05148
CILLAN	05149
PASCUALCOBO	05150
CARPIO MEDIANERO	05151
MONTALBO	05152
ALDEALABAD DEL MIRON	05153
MERCADILLO	05154
ALAMEDILLA DEL BERROCAL	05160
