cod	lat	lng	intrusion	variation	flag_variation
08630	41.5153044	1.9196949	2	177.9	pos
08328	41.5035994	2.2876645	2	40.7	pos
08587	42.1234626	2.0910377	25	0.0	null
08350	41.5855397	2.5470339	2	133.3	pos
08358	41.6082578	2.5346498	3	160.7	pos
08310	41.5613266	2.396174	3	115.9	pos
08271	41.798798	1.9539106	1	0.0	null
08610	42.0736589	1.8220818	3	50.0	neg
08279	41.8728901	1.9783666	22	66.7	pos
08793	41.3573723	1.7830973	7	0.0	null
08915	41.4668363	2.2507317	3	0.0	null
08912	41.4420207	2.240888	2	30.9	neg
08913	41.43872	2.2175179	9	0.0	null
08914	41.4435807	2.2248966	5	118.2	pos
08911	41.4518333	2.2507317	3	21.4	neg
08916	41.474766	2.2285864	4	225.6	pos
08917	41.4547638	2.2285864	2	34.3	neg
08918	41.4321101	2.235967	10	0.0	null
08214	41.5081546	2.1143422	4	0.0	null
08660	41.8549844	1.8611011	8	0.0	null
08210	41.5164233	2.1401139	4	21.9	pos
08014	41.3751275	2.1388864	5	30.2	pos
08023	41.4125897	2.1437968	0	119.7	pos
08028	41.3790881	2.1278398	2	29.3	neg
08006	41.3999835	2.1487078	1	12.5	neg
08001	41.3795863	2.1683571	5	11.2	neg
08004	41.3722574	2.1585314	5	27.5	pos
08020	41.4227641	2.2015347	6	0.0	null
08010	41.3919671	2.1757278	2	0.0	null
08032	41.4235073	2.1622158	1	6.1	neg
08007	41.3896482	2.1659005	2	34.3	neg
08008	41.3947475	2.1609876	2	23.7	neg
08018	41.40293	2.1917018	2	19.7	neg
08013	41.4031163	2.181871	2	48.5	neg
08017	41.4171333	2.1008486	2	62.2	pos
08035	41.4264213	2.1401139	4	39.2	neg
08003	41.3842701	2.1855573	3	34.4	neg
08039	41.3570442	2.1683571	3	0.0	null
08005	41.3977365	2.2015347	2	5.0	neg
08012	41.4023493	2.1560753	1	33.6	neg
08040	41.3364545	2.1302944	4	40.7	neg
08042	41.4433367	2.1720423	5	37.1	pos
08033	41.4531556	2.181871	13	0.0	null
08025	41.4083076	2.1720423	2	27.6	neg
08026	41.4118532	2.1830997	2	0.0	null
08041	41.4182256	2.1769564	2	24.8	pos
08019	41.4125664	2.2113698	6	0.0	null
08034	41.3943819	2.1131154	1	10.5	neg
08029	41.3888317	2.1425692	1	17.9	neg
08038	41.3636056	2.1523914	5	31.3	pos
08016	41.436921	2.1806423	3	69.2	pos
08002	41.3819518	2.1757278	4	41.9	neg
08024	41.4123152	2.1585314	2	37.4	pos
08037	41.3990479	2.1652863	3	60.9	pos
08021	41.397617	2.1413415	1	0.0	null
08015	41.378633	2.1523914	2	36.9	neg
08036	41.3899238	2.1511635	2	36.5	neg
08027	41.4230444	2.1867861	2	46.3	neg
08031	41.4321952	2.1659005	2	3.3	neg
08022	41.4090402	2.1327491	1	17.0	pos
08030	41.4378689	2.196618	2	32.0	pos
08009	41.3945632	2.1708139	2	0.0	null
08011	41.3847786	2.1585314	3	5.8	pos
08476	41.7197442	2.5618993	5	50.0	neg
08782	41.5003553	1.8403678	7	7.7	pos
08859	41.3154028	1.900155	1	0.0	null
08193	41.4973352	2.0910377	1	100.0	pos
08600	42.097993	1.8464648	1	97.5	pos
08415	41.6747675	2.2089109	0	42.7	neg
08619	42.1501511	1.9783666	18	0.0	null
08294	41.6176371	1.7636181	3	100.0	pos
08553	41.832407	2.2876645	3	0.0	null
08349	41.5211753	2.4060513	3	9.8	neg
08348	41.5319814	2.3665549	2	47.3	neg
08280	41.7257971	1.5160212	2	100.0	pos
08140	41.6512425	2.1352039	2	6.8	neg
08370	41.6257519	2.6437438	4	0.0	null
08506	41.9215421	2.2975183	23	51.2	pos
08262	41.7965959	1.7830973	3	0.0	null
08420	41.6237835	2.2679632	7	4.4	pos
08360	41.6076006	2.5643773	0	35.7	neg
08445	41.7072025	2.3320235	1	86.5	pos
08811	41.2831146	1.7198215	2	4.7	pos
08786	41.5314129	1.6882181	5	100.0	pos
08440	41.641945	2.3566861	2	25.0	neg
08261	41.8976765	1.6663523	2	100.0	pos
08787	41.5013861	1.5111806	2	100.0	pos
08693	42.0142781	1.8220818	12	0.0	null
08211	41.6323786	2.0763253	1	22.7	neg
08296	41.6360521	1.8611011	5	0.0	null
08755	41.4743265	1.9783666	4	23.5	neg
08860	41.2792267	1.9636914	2	12.6	neg
08729	41.2590817	1.6469253	4	0.0	null
08297	41.6814512	1.8269573	1	0.6	pos
08251	41.8158674	1.8220818	4	0.0	null
08719	41.640391	1.5693045	2	0.0	null
08732	41.3398934	1.6080974	3	3.8	neg
08769	41.4502292	1.9245812	2	100.0	pos
08540	41.7838723	2.2285864	12	0.0	null
08290	41.4715315	2.1352039	1	45.3	neg
08758	41.3896747	1.9539106	2	56.8	pos
08293	41.5768136	1.8220818	1	206.2	pos
08178	41.8296308	2.1744993	25	100.0	pos
08611	50.1770891	30.3196385	66	0.0	null
08940	41.3573949	2.0812289	6	28.8	pos
08880	41.2136736	1.6614947	2	29.6	pos
08319	41.6008313	2.4159308	2	6.4	neg
08292	41.5562225	1.8611011	3	33.1	neg
08770	41.4374918	1.7830973	3	33.8	pos
08950	41.3772561	2.0910377	2	1.2	pos
08259	41.7577002	1.7246856	4	100.0	pos
08590	41.7136519	2.2581158	7	0.0	null
08698	42.1621397	1.851343	8	0.0	null
08495	41.7207249	2.6288523	3	0.0	null
08736	41.4192167	1.6663523	3	100.0	pos
08753	41.4219252	1.9710284	2	10.4	neg
08194	41.5239187	2.0365036	5	0.0	null
08784	41.518091	1.7441475	2	50.0	neg
08520	41.6478275	2.3123031	2	12.1	neg
08871	41.2515696	1.891609	13	0.0	null
08530	41.6933493	2.2778128	3	0.1	pos
08850	41.2987914	1.9930466	4	29.2	neg
08790	41.4362607	1.8611011	2	200.0	pos
08680	42.0281086	1.8855057	11	0.0	null
08792	41.3832365	1.7295503	3	50.0	neg
08183	41.7515485	2.0959429	3	52.9	pos
08402	41.5959156	2.2901277	11	0.0	null
08403	41.5838808	2.2679632	12	4.6	pos
08401	41.6059894	2.2852014	3	18.7	pos
08474	41.7437079	2.4900943	5	17.1	pos
08694	42.2501433	1.900155	11	0.0	null
08550	41.8238197	2.2187476	9	0.0	null
