cod	lat	lng	intrusion	variation	flag_variation
01120	42.7353261	-2.4455818	16	0.0	null
01130	42.9581281	-2.8203207	2	44.4	neg
01138	42.96788	-2.7182728	2	11.3	pos
01170	42.9792248	-2.6487087	2	32.9	neg
01192	42.8642828	-2.5693337	3	0.0	null
01193	42.8253082	-2.5693337	2	100.0	pos
01194	42.8040067	-2.6487087	2	0.0	null
01196	42.9000333	-2.7083287	1	5.4	neg
01200	42.8112719	-2.3123031	1	0.0	null
01207	42.8291544	-2.3912362	14	0.0	null
01212	42.6449415	-2.7680247	4	0.0	null
01213	54.6836552	25.3164377	4	27.7	neg
01230	42.8192346	-2.8277963	3	211.5	pos
01240	42.8461137	-2.5098914	0	47.9	neg
01260	42.8705325	-2.2728877	25	100.0	pos
01300	42.5516581	-2.5693337	5	62.2	pos
01307	42.5493967	-2.6685736	3	100.0	pos
01309	42.5503122	-2.6288523	3	0.0	null
01320	42.5150413	-2.4505255	2	27.8	neg
01400	43.1455195	-2.9875565	3	38.4	pos
01408	43.1015307	-3.0025615	9	14.3	pos
01426	46.2722	5.3692	10	0.0	null
01428	42.8362244	-2.9275836	2	0.0	null
01450	43.0302111	-2.9475662	8	100.0	pos
01468	42.9709056	-2.9875565	10	94.9	pos
01470	43.0679875	-2.9875565	3	0.0	null
01510	42.9009642	-2.6685736	3	0.0	null
01520	42.9317474	-2.5990835	3	100.0	pos
02001	39.0019158	-1.8391485	1	0.0	null
02002	38.9873668	-1.8525626	1	38.3	neg
02004	38.9923873	-1.8647609	1	0.0	null
02005	39.067615	-1.8025852	0	48.7	neg
02006	39.0336871	-1.9685826	6	214.1	pos
02007	39.0977825	-1.8708613	3	0.0	null
02110	39.1163314	-2.0077316	9	0.0	null
02120	38.7721486	-1.9979411	12	100.0	pos
02141	38.7103261	-1.9392435	10	100.0	pos
02151	39.0812595	-1.5789994	13	100.0	pos
02213	39.1997868	-1.2409799	100	0.0	null
02230	39.244283	-1.8123324	6	0.0	null
02240	39.2039046	-1.7344155	4	0.0	null
02246	39.2869979	-1.7344155	9	0.0	null
02260	39.2584424	-1.5499211	5	0.0	null
02270	39.3727033	-1.5402327	7	0.0	null
02300	38.6710735	-2.4925685	18	100.0	pos
